MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
finbert-char-ner	26	01:29:07	0	0.1000	1.9865792022561126	1.6997394561767578	0.8007	0.8272	0.8137
finbert-char-ner	27	01:42:16	0	0.1000	1.9647721584488012	1.6336195468902588	0.8142	0.8186	0.8164
finbert-char-ner	28	01:55:18	0	0.1000	1.9289156768306996	1.6861438751220703	0.8008	0.8332	0.8167
finbert-char-ner	29	02:08:27	0	0.1000	1.9129454834656145	1.6343640089035034	0.8045	0.8334	0.8187
finbert-char-ner	30	02:21:31	0	0.1000	1.8850836551414345	1.614358901977539	0.8107	0.8295	0.8200
finbert-char-ner	31	02:35:32	0	0.1000	1.8631717603911393	1.61571204662323	0.8056	0.8351	0.8201
finbert-char-ner	32	02:49:02	0	0.1000	1.828378399213155	1.6029975414276123	0.8057	0.8354	0.8203
finbert-char-ner	33	03:02:40	0	0.1000	1.8191389992551983	1.6081163883209229	0.8067	0.8360	0.8211
finbert-char-ner	34	03:16:26	1	0.1000	1.7977472078875176	1.622573733329773	0.7993	0.8418	0.8200
finbert-char-ner	35	03:30:04	0	0.1000	1.779408610841763	1.5516279935836792	0.8138	0.8347	0.8241
finbert-char-ner	36	03:43:48	1	0.1000	1.7662653833065394	1.5996065139770508	0.8027	0.8425	0.8221
finbert-char-ner	37	03:57:27	2	0.1000	1.7611199257508763	1.5660486221313477	0.8098	0.8368	0.8231
finbert-char-ner	38	04:11:10	3	0.1000	1.7376259220471173	1.5714468955993652	0.8052	0.8406	0.8225
finbert-char-ner	39	04:24:47	0	0.1000	1.7269548387647424	1.559484839439392	0.8067	0.8423	0.8241
finbert-char-ner	40	04:38:31	1	0.1000	1.7058091343573805	1.5312871932983398	0.8160	0.8324	0.8241
finbert-char-ner	41	04:52:07	0	0.1000	1.69465826517381	1.5624136924743652	0.8056	0.8462	0.8254
finbert-char-ner	42	05:05:50	0	0.1000	1.68382154920566	1.5396900177001953	0.8056	0.8471	0.8258
finbert-char-ner	43	05:19:29	0	0.1000	1.6745873457230862	1.5311660766601562	0.8162	0.8390	0.8274
finbert-char-ner	44	05:33:16	1	0.1000	1.6556021297502819	1.5756562948226929	0.7997	0.8499	0.8240
finbert-char-ner	45	05:46:52	0	0.1000	1.634299138057157	1.5011377334594727	0.8152	0.8423	0.8285
finbert-char-ner	46	06:00:13	1	0.1000	1.638147884194956	1.5879218578338623	0.8005	0.8505	0.8247
finbert-char-ner	47	06:13:25	2	0.1000	1.6170651830217373	1.575052261352539	0.7991	0.8504	0.8239
finbert-char-ner	48	06:26:43	0	0.1000	1.608050523314086	1.4862635135650635	0.8180	0.8429	0.8303
finbert-char-ner	49	06:40:00	0	0.1000	1.5864507852110472	1.4691269397735596	0.8193	0.8426	0.8308
finbert-char-ner	50	06:53:12	1	0.1000	1.5793643979906287	1.5415043830871582	0.8060	0.8508	0.8278
finbert-char-ner	51	07:06:28	2	0.1000	1.582319585782177	1.4898929595947266	0.8126	0.8457	0.8288
finbert-char-ner	52	07:19:39	3	0.1000	1.5749373181061175	1.4938348531723022	0.8090	0.8494	0.8287
finbert-char-ner	53	07:32:56	4	0.1000	1.5576514680430573	1.5179790258407593	0.8053	0.8515	0.8277
