MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
finbert-ner	24	23:01:28	2	0.0500	0.35479250121297257	0.7796396017074585	0.9153	0.9153	0.9153
finbert-ner	25	23:01:35	3	0.0500	0.3802229274402965	0.8037785887718201	0.9483	0.9322	0.9402
finbert-ner	26	23:01:41	4	0.0500	0.36528519292672473	0.8184119462966919	0.9231	0.9153	0.9191
finbert-ner	27	23:01:48	1	0.0250	0.27651151247096784	0.8309191465377808	0.9397	0.9237	0.9316
finbert-ner	28	23:01:56	2	0.0250	0.2811703212333448	0.8447678685188293	0.9478	0.9237	0.9356
finbert-ner	29	23:02:03	0	0.0250	0.3054978292096745	0.8147847652435303	0.9487	0.9407	0.9447
finbert-ner	30	23:02:11	0	0.0250	0.3118320428060763	0.8125563263893127	0.9487	0.9407	0.9447
finbert-ner	31	23:02:19	1	0.0250	0.3045201080315041	0.8287267684936523	0.9316	0.9237	0.9277
finbert-ner	32	23:02:26	2	0.0250	0.2930037302501274	0.8250945210456848	0.9407	0.9407	0.9407
finbert-ner	33	23:02:33	3	0.0250	0.29938815714734973	0.8212958574295044	0.9483	0.9322	0.9402
finbert-ner	34	23:02:40	4	0.0250	0.30426588925448333	0.890053927898407	0.9483	0.9322	0.9402
finbert-ner	35	23:02:47	1	0.0125	0.24609366872093894	0.8715438842773438	0.9397	0.9237	0.9316
finbert-ner	36	23:02:55	2	0.0125	0.25924487953836267	0.8282860517501831	0.9407	0.9407	0.9407
finbert-ner	37	23:03:02	3	0.0125	0.2578905987920183	0.8530020713806152	0.9483	0.9322	0.9402
finbert-ner	38	23:03:09	4	0.0125	0.23812676187266002	0.8463163375854492	0.9483	0.9322	0.9402
finbert-ner	39	23:03:16	1	0.0063	0.2527512320966432	0.8555689454078674	0.9483	0.9322	0.9402
finbert-ner	40	23:03:23	2	0.0063	0.26312857708244614	0.8365969061851501	0.9483	0.9322	0.9402
finbert-ner	41	23:03:30	3	0.0063	0.2904689795140064	0.8246675133705139	0.9402	0.9322	0.9362
finbert-ner	42	23:03:37	4	0.0063	0.292427174521215	0.8328462839126587	0.9483	0.9322	0.9402
finbert-ner	43	23:03:44	1	0.0031	0.2100188501856544	0.847088098526001	0.9483	0.9322	0.9402
finbert-ner	44	23:03:51	2	0.0031	0.26833261368852673	0.8496599197387695	0.9483	0.9322	0.9402
finbert-ner	45	23:03:58	3	0.0031	0.2517078369855881	0.8407807350158691	0.9483	0.9322	0.9402
finbert-ner	46	23:04:05	4	0.0031	0.2267349325120449	0.846349835395813	0.9483	0.9322	0.9402
finbert-ner	47	23:04:12	1	0.0016	0.23103146300171362	0.8429754376411438	0.9483	0.9322	0.9402
finbert-ner	48	23:04:19	2	0.0016	0.25352120805870404	0.8430724143981934	0.9483	0.9322	0.9402
finbert-ner	49	23:04:27	3	0.0016	0.2307261616894693	0.8400189876556396	0.9483	0.9322	0.9402
finbert-ner	50	23:04:34	4	0.0016	0.2696745596600301	0.8455699682235718	0.9483	0.9322	0.9402
finbert-ner	51	23:04:41	1	0.0008	0.265826704827222	0.8435349464416504	0.9483	0.9322	0.9402
finbert-ner	52	23:04:48	2	0.0008	0.20415773107246918	0.8465431332588196	0.9483	0.9322	0.9402
finbert-ner	53	23:04:55	3	0.0008	0.2508665239720633	0.8491635918617249	0.9483	0.9322	0.9402
finbert-ner	54	23:05:02	4	0.0008	0.2668589936061339	0.8517025113105774	0.9483	0.9322	0.9402
finbert-ner	55	23:05:09	1	0.0004	0.2660533727118463	0.8527613878250122	0.9483	0.9322	0.9402
finbert-ner	56	23:05:16	2	0.0004	0.2144200223864931	0.8515109419822693	0.9483	0.9322	0.9402
finbert-ner	57	23:05:23	3	0.0004	0.25156502290205524	0.8520069718360901	0.9483	0.9322	0.9402
finbert-ner	58	23:05:30	4	0.0004	0.2584436242327546	0.8511738777160645	0.9483	0.9322	0.9402
finbert-ner	59	23:05:37	1	0.0002	0.22892100680055041	0.8515620827674866	0.9483	0.9322	0.9402
finbert-ner	60	23:05:44	2	0.0002	0.2206476547501304	0.8511504530906677	0.9483	0.9322	0.9402
finbert-ner	61	23:05:50	3	0.0002	0.26899933769847406	0.8528428673744202	0.9483	0.9322	0.9402
finbert-ner	62	23:05:57	4	0.0002	0.2318691128131115	0.8535013198852539	0.9483	0.9322	0.9402
flair-ner	1	23:06:21	0	0.1000	12.282391182400964	3.1591765880584717	0.6000	0.3559	0.4468
flair-ner	2	23:06:29	0	0.1000	3.2108287161046807	1.5268640518188477	0.7402	0.7966	0.7673
flair-ner	3	23:06:37	0	0.1000	2.170975013212724	1.173380732536316	0.8197	0.8475	0.8333
flair-ner	4	23:06:45	0	0.1000	1.6777171510638613	0.8786494731903076	0.8898	0.8898	0.8898
flair-ner	5	23:06:54	1	0.1000	1.4923469442309756	0.7909736633300781	0.8824	0.8898	0.8861
flair-ner	6	23:07:02	0	0.1000	1.2399912006927258	0.8973599076271057	0.9369	0.8814	0.9083
flair-ner	7	23:07:10	0	0.1000	1.0385705797058162	0.9784046411514282	0.9455	0.8814	0.9123
flair-ner	8	23:07:18	0	0.1000	0.9438856009281043	0.6579440832138062	0.9153	0.9153	0.9153
flair-ner	9	23:07:27	1	0.1000	1.0133898547201445	0.7949866652488708	0.9145	0.9068	0.9106
flair-ner	10	23:07:35	0	0.1000	0.8273936920996868	0.7557855248451233	0.9391	0.9153	0.9270
flair-ner	11	23:07:43	1	0.1000	0.826941700595798	0.7357705235481262	0.9310	0.9153	0.9231
flair-ner	12	23:07:50	2	0.1000	0.6739127419211648	0.7968282699584961	0.9310	0.9153	0.9231
flair-ner	13	23:07:57	3	0.1000	0.7355051934719086	0.8213335275650024	0.9310	0.9153	0.9231
flair-ner	14	23:08:05	4	0.1000	0.6968701892729962	0.7213225364685059	0.9068	0.9068	0.9068
flair-ner	15	23:08:13	0	0.0500	0.5448695448311892	0.7881214618682861	0.9732	0.9237	0.9478
flair-ner	16	23:08:21	1	0.0500	0.5701809724171957	0.7039384245872498	0.9316	0.9237	0.9277
flair-ner	17	23:08:28	2	0.0500	0.4729298926664121	0.730669379234314	0.9316	0.9237	0.9277
flair-ner	18	23:08:36	3	0.0500	0.5026439803116249	0.788929283618927	0.9316	0.9237	0.9277
flair-ner	19	23:08:44	4	0.0500	0.5574451793323864	0.7367169260978699	0.9478	0.9237	0.9356
flair-ner	20	23:08:51	1	0.0250	0.4631598379575845	0.7687726616859436	0.9646	0.9237	0.9437
flair-ner	21	23:08:59	2	0.0250	0.4633592872908621	0.6928884387016296	0.9237	0.9237	0.9237
flair-ner	22	23:09:06	3	0.0250	0.4274959085565625	0.7642800211906433	0.9646	0.9237	0.9437
flair-ner	23	23:09:14	4	0.0250	0.4489204761656848	0.7398553490638733	0.9561	0.9237	0.9397
flair-ner	24	23:09:21	1	0.0125	0.4720399704846469	0.7434706687927246	0.9561	0.9237	0.9397
flair-ner	25	23:09:29	2	0.0125	0.41119684414430097	0.7502246499061584	0.9561	0.9237	0.9397
flair-ner	26	23:09:36	3	0.0125	0.39353589939348627	0.7607274055480957	0.9646	0.9237	0.9437
flair-ner	27	23:09:44	4	0.0125	0.4663686354955037	0.7398002743721008	0.9561	0.9237	0.9397
flair-ner	28	23:09:51	1	0.0063	0.3652936883948066	0.7573288083076477	0.9646	0.9237	0.9437
flair-ner	29	23:09:59	2	0.0063	0.3827692446383563	0.7499141097068787	0.9646	0.9237	0.9437
flair-ner	30	23:10:07	3	0.0063	0.36802451357696997	0.7568669319152832	0.9646	0.9237	0.9437
flair-ner	31	23:10:14	4	0.0063	0.39344296310887195	0.7434133291244507	0.9561	0.9237	0.9397
flair-ner	32	23:10:22	1	0.0031	0.3357903930273923	0.7481275796890259	0.9561	0.9237	0.9397
flair-ner	33	23:10:30	2	0.0031	0.404041947740497	0.7532917857170105	0.9561	0.9237	0.9397
flair-ner	34	23:10:38	3	0.0031	0.37651782911835296	0.7461962699890137	0.9561	0.9237	0.9397
flair-ner	35	23:10:46	4	0.0031	0.3644975270285751	0.7515555620193481	0.9646	0.9237	0.9437
flair-ner	36	23:10:53	1	0.0016	0.35813849396777875	0.7475431561470032	0.9646	0.9237	0.9437
flair-ner	37	23:11:01	2	0.0016	0.37911755207813147	0.7512840032577515	0.9646	0.9237	0.9437
flair-ner	38	23:11:08	3	0.0016	0.3616343122540098	0.754482090473175	0.9646	0.9237	0.9437
